title,date,url,tokens,stem,lemma,pos_tags,named_entities
Алматыда мас оқушы қыз метрода құлады,15:05 2019-08-16,https://kaz.zakon.kz/news/4981858-almatyda-mas-k-ydeg-o-ushy-yz-metroda.html,"алматыда,мас,оқушы,қыз,метрода,құлады",алматыда мас оқушы қыз метрода құлады,Алматыда мас оқушы қыз метрода құлады,"[('Алматыда', 'JJ'), ('мас', 'NNP'), ('оқушы', 'NNP'), ('қыз', 'NNP'), ('метрода', 'NNP'), ('құлады', 'NN')]",['Алматыда']
Алматыда қан шығарғанды жақсы көретін азамат өлі табылды,15:03 2019-08-16,https://kaz.zakon.kz/news/4981857-almatyda-an-shy-ar-andy-zha-sy-k-ret-n.html,"алматыда,қан,шығарғанды,жақсы,көретін,азамат,өлі,табылды",алматыда қан шығарғанды жақсы көретін азамат өлі табылды,Алматыда қан шығарғанды жақсы көретін азамат өлі табылды,"[('Алматыда', 'JJ'), ('қан', 'NNP'), ('шығарғанды', 'NNP'), ('жақсы', 'NNP'), ('көретін', 'NNP'), ('азамат', 'NNP'), ('өлі', 'NNP'), ('табылды', 'NN')]",['Алматыда']
СҚО-да үкіметтік емес ұйымдар мәселелері көтерілді,14:52 2019-08-16,https://kaz.zakon.kz/news/4981853-s-o-da-k-mett-k-emes-yymdar-m-seleler-k.html,"сқо,да,үкіметтік,ұйымдар,мәселелері,көтерілді",сқо-да үкіметтік емес ұйымдар мәселелері көтерілді,СҚО-да үкіметтік емес ұйымдар мәселелері көтерілді,"[('СҚО', 'SYM'), ('-', ':'), ('да', 'NN'), ('үкіметтік', 'JJ'), ('емес', 'NNP'), ('ұйымдар', 'NNP'), ('мәселелері', 'NNP'), ('көтерілді', 'NN')]",['СҚО']
Тамыз конференциясында Тоқаев не деді - толық мәтіні,14:36 2019-08-16,https://kaz.zakon.kz/news/4981847-tamyz-konferentsiyasynda-to-aev-ne-ded.html,"тамыз,конференциясында,тоқаев,не,деді,толық,мәтіні",тамыз конференциясында тоқаев не деді - толық мәтіні,Тамыз конференциясында Тоқаев не деді - толық мәтіні,"[('Тамыз', 'JJ'), ('конференциясында', 'NNP'), ('Тоқаев', 'NNP'), ('не', 'NNP'), ('деді', 'NNP'), ('-', ':'), ('толық', 'NN'), ('мәтіні', 'NN')]",['Тамыз']
Нұротандықтар! Желіде Бауыржан Байбектің хаты пайда болды,12:56 2019-08-16,https://kaz.zakon.kz/news/4981815-n-rotandy-tar-zhel-de-bauyrzhan-baybekt.html,"нұротандықтар,желіде,бауыржан,байбектің,хаты,пайда,болды",нұротандықтар! желіде бауыржан байбектің хаты пайда болды,Нұротандықтар! Желіде Бауыржан Байбектің хаты пайда болды,"[('Нұротандықтар', 'NN'), ('!', '.'), ('Желіде', 'JJ'), ('Бауыржан', 'JJ'), ('Байбектің', 'NN'), ('хаты', 'NNP'), ('пайда', 'NNP'), ('болды', 'NN')]",['Нұротандықтар']
Президент 12 жылдық білім беру жүйесіне қалай көшу керектігін айтты,12:33 2019-08-16,https://kaz.zakon.kz/news/4981810-prezident-12-zhyldy-b-l-m-beru-zh-yes.html,"президент,12,жылдық,білім,беру,жүйесіне,қалай,көшу,керектігін,айтты",президент 12 жылдық білім беру жүйесіне қалай көшу керектігін айтты,Президент 12 жылдық білім беру жүйесіне қалай көшу керектігін айтты,"[('Президент', 'RB'), ('12', 'CD'), ('жылдық', 'JJ'), ('білім', 'NNP'), ('беру', 'NNP'), ('жүйесіне', 'NNP'), ('қалай', 'NNP'), ('көшу', 'NNP'), ('керектігін', 'NNP'), ('айтты', 'NN')]",[]
Тоқаев мұғалімдердің жалақысын екі есеге өсіруді бұйырды,12:23 2019-08-16,https://kaz.zakon.kz/news/4981809-to-aev-m-al-mderd-zhala-ysyn-ek-esege-s.html,"тоқаев,мұғалімдердің,жалақысын,екі,есеге,өсіруді,бұйырды",тоқаев мұғалімдердің жалақысын екі есеге өсіруді бұйырды,Тоқаев мұғалімдердің жалақысын екі есеге өсіруді бұйырды,"[('Тоқаев', 'JJ'), ('мұғалімдердің', 'NNP'), ('жалақысын', 'NNP'), ('екі', 'NNP'), ('есеге', 'NNP'), ('өсіруді', 'NNP'), ('бұйырды', 'NN')]",['Тоқаев']
Атаулы әлеуметтік жәрдемақыны заңсыз алғандардан ақшаны қайтару талап етілді,11:44 2019-08-16,https://kaz.zakon.kz/news/4981798-atauly-leumett-k-zh-rdema-yny-za-syz-al.html,"атаулы,әлеуметтік,жәрдемақыны,заңсыз,алғандардан,ақшаны,қайтару,талап,етілді",атаулы әлеуметтік жәрдемақыны заңсыз алғандардан ақшаны қайтару талап етілді,Атаулы әлеуметтік жәрдемақыны заңсыз алғандардан ақшаны қайтару талап етілді,"[('Атаулы', 'JJ'), ('әлеуметтік', 'NNP'), ('жәрдемақыны', 'NNP'), ('заңсыз', 'NNP'), ('алғандардан', 'NNP'), ('ақшаны', 'NNP'), ('қайтару', 'NNP'), ('талап', 'NNP'), ('етілді', 'NN')]",['Атаулы']
Алматы облысында мектепте оқымайтын 8 жасар бала анықталды,11:23 2019-08-16,https://kaz.zakon.kz/news/4981794-almaty-oblysynda-mektepte-o-ymaytyn-8.html,"алматы,облысында,мектепте,оқымайтын,8,жасар,бала,анықталды",алматы облысында мектепте оқымайтын 8 жасар бала анықталды,Алматы облысында мектепте оқымайтын 8 жасар бала анықталды,"[('Алматы', 'JJ'), ('облысында', 'NNP'), ('мектепте', 'NNP'), ('оқымайтын', 'VBD'), ('8', 'CD'), ('жасар', 'NNP'), ('бала', 'NNP'), ('анықталды', 'NN')]",['Алматы']
"Путинді қорға, халықты тепкіле – симулятор ОМОН деген ойын шықты",10:59 2019-08-16,https://kaz.zakon.kz/news/4981788-putind-or-a-haly-ty-tepk-le-simulyator.html,"путинді,қорға,халықты,тепкіле,–,симулятор,омон,деген,ойын,шықты","путинді қорға, халықты тепкіле – симулятор омон деген ойын шықты","Путинді қорға, халықты тепкіле – симулятор ОМОН деген ойын шықты","[('Путинді', 'NN'), ('қорға', 'NN'), (',', ','), ('халықты', 'NNP'), ('тепкіле', 'NNP'), ('–', 'NNP'), ('симулятор', 'NNP'), ('ОМОН', 'NNP'), ('деген', 'NNP'), ('ойын', 'NNP'), ('шықты', 'NN')]",['Путинді']
Нұртілеу Иманғалиұлы телевидениеге оралды!,10:59 2019-08-16,https://kaz.zakon.kz/news/4981787-n-rt-leu-iman-ali-ly-televideniege.html,"нұртілеу,иманғалиұлы,телевидениеге,оралды",нұртілеу иманғалиұлы телевидениеге оралды!,Нұртілеу Иманғалиұлы телевидениеге оралды!,"[('Нұртілеу', 'JJ'), ('Иманғалиұлы', 'NNP'), ('телевидениеге', 'NNP'), ('оралды', 'NN'), ('!', '.')]",['Нұртілеу Иманғалиұлы']
Елшілер Тоқаевтың Қытайға мемлекеттік сапары дайындығын талқылады,10:45 2019-08-16,https://kaz.zakon.kz/news/4981783-elsh-ler-to-aevty-ytay-a-memlekett-k.html,"елшілер,тоқаевтың,қытайға,мемлекеттік,сапары,дайындығын,талқылады",елшілер тоқаевтың қытайға мемлекеттік сапары дайындығын талқылады,Елшілер Тоқаевтың Қытайға мемлекеттік сапары дайындығын талқылады,"[('Елшілер', 'JJ'), ('Тоқаевтың', 'NNP'), ('Қытайға', 'NNP'), ('мемлекеттік', 'NNP'), ('сапары', 'NNP'), ('дайындығын', 'NNP'), ('талқылады', 'NN')]",['Елшілер Тоқаевтың Қытайға']
Олар ВИЧ-ті Теңіз кенішінде жұқтырмаған -  облыстық денсаулық сақтау басқармасының басшысы,09:53 2019-08-16,https://kaz.zakon.kz/news/4981775-olar-vich-t-te-z-ken-sh-nde-zh-tyrma-an.html,"вич,ті,теңіз,кенішінде,жұқтырмаған,облыстық,денсаулық,сақтау,басқармасының,басшысы",олар вич-ті теңіз кенішінде жұқтырмаған -  облыстық денсаулық сақтау басқармасының басшысы,Олар ВИЧ-ті Теңіз кенішінде жұқтырмаған -  облыстық денсаулық сақтау басқармасының басшысы,"[('Олар', 'NN'), ('ВИЧ', 'SYM'), ('-', ':'), ('ті', 'NN'), ('Теңіз', 'JJ'), ('кенішінде', 'NNP'), ('жұқтырмаған', 'NNP'), ('-', ':'), ('облыстық', 'NN'), ('денсаулық', 'JJ'), ('сақтау', 'NNP'), ('басқармасының', 'NNP'), ('басшысы', 'NN')]","['Олар', 'Теңіз']"
"Трагикомедия. ""Оқулық"" орталығы vs министр",09:50 2019-08-16,https://kaz.zakon.kz/news/4981774-tragikomediya-o-uly-ortaly-y-vs-ministr.html,"трагикомедия,оқулық,орталығы,vs,министр","трагикомедия. ""оқулық"" орталығы vs министр","Трагикомедия. ""Оқулық"" орталығы vs министр","[('Трагикомедия', 'NN'), ('.', '.'), ('""', 'CC'), ('Оқулық', 'JJ'), ('""', 'NNP'), ('орталығы', 'NNP'), ('vs', 'NN'), ('министр', 'NN')]",['Трагикомедия']
"Шетелдіктерді мұнай компаниясына заңсыз ""тықпалаған"" осы әкім екен!",09:45 2019-08-16,https://kaz.zakon.kz/news/4981773-sheteld-kterd-m-nay-kompaniyasyna-za.html,"шетелдіктерді,мұнай,компаниясына,заңсыз,тықпалаған,әкім,екен","шетелдіктерді мұнай компаниясына заңсыз ""тықпалаған"" осы әкім екен!","Шетелдіктерді мұнай компаниясына заңсыз ""тықпалаған"" осы әкім екен!","[('Шетелдіктерді', 'JJ'), ('мұнай', 'NNP'), ('компаниясына', 'NNP'), ('заңсыз', 'NNP'), ('""', 'NNP'), ('тықпалаған', 'NNP'), ('""', 'NNP'), ('осы', 'NNP'), ('әкім', 'NNP'), ('екен', 'NN'), ('!', '.')]",['Шетелдіктерді']
"Бұршақ, дауыл, қатты жаңбыр – жұмадағы ауа-райы",09:36 2019-08-16,https://kaz.zakon.kz/news/4981768-b-rsha-dauyl-atty-zha-byr-zh-mada-y-aua.html,"бұршақ,дауыл,қатты,жаңбыр,–,жұмадағы,ауа,райы","бұршақ, дауыл, қатты жаңбыр – жұмадағы ауа-райы","Бұршақ, дауыл, қатты жаңбыр – жұмадағы ауа-райы","[('Бұршақ', 'NN'), (',', ','), ('дауыл', 'NNP'), (',', ','), ('қатты', 'NNP'), ('жаңбыр', 'NNP'), ('–', 'NNP'), ('жұмадағы', 'NNP'), ('ауа', 'NNP'), ('-', ':'), ('райы', 'NN')]",['Бұршақ']
Республикалық тамыз кеңесінде жекеге тиесілі мектептер жайы да талқыланады,09:23 2019-08-16,https://kaz.zakon.kz/news/4981760-respublikaly-tamyz-ke-es-nde-zhekege.html,"республикалық,тамыз,кеңесінде,жекеге,тиесілі,мектептер,жайы,да,талқыланады",республикалық тамыз кеңесінде жекеге тиесілі мектептер жайы да талқыланады,Республикалық тамыз кеңесінде жекеге тиесілі мектептер жайы да талқыланады,"[('Республикалық', 'JJ'), ('тамыз', 'NNP'), ('кеңесінде', 'NNP'), ('жекеге', 'NNP'), ('тиесілі', 'NNP'), ('мектептер', 'NNP'), ('жайы', 'NNP'), ('да', 'NNP'), ('талқыланады', 'NN')]",['Республикалық']
Заречныйдағы азаптау оқиғасына байланысты 7 түрме қызметкері қамауға алынды,17:52 2019-08-15,https://kaz.zakon.kz/news/4981712-zarechnyyda-y-azaptau-o-i-asyna.html,"заречныйдағы,азаптау,оқиғасына,байланысты,7,түрме,қызметкері,қамауға,алынды",заречныйдағы азаптау оқиғасына байланысты 7 түрме қызметкері қамауға алынды,Заречныйдағы азаптау оқиғасына байланысты 7 түрме қызметкері қамауға алынды,"[('Заречныйдағы', 'JJ'), ('азаптау', 'NNP'), ('оқиғасына', 'NNP'), ('байланысты', 'VBD'), ('7', 'CD'), ('түрме', 'NNP'), ('қызметкері', 'NNP'), ('қамауға', 'NNP'), ('алынды', 'NN')]",['Заречныйдағы']
Үкімет басшысы жұмыс сапарымен Қостанай облысында жүр,17:29 2019-08-15,https://kaz.zakon.kz/news/4981708-k-met-basshysy-zh-mys-saparmen-ostanay.html,"үкімет,басшысы,жұмыс,сапарымен,қостанай,облысында,жүр",үкімет басшысы жұмыс сапарымен қостанай облысында жүр,Үкімет басшысы жұмыс сапарымен Қостанай облысында жүр,"[('Үкімет', 'JJ'), ('басшысы', 'NNP'), ('жұмыс', 'NNP'), ('сапарымен', 'NNP'), ('Қостанай', 'NNP'), ('облысында', 'NNP'), ('жүр', 'NN')]",['Үкімет']
Тасмағамбетов қызметінен босатылды,16:57 2019-08-15,https://kaz.zakon.kz/news/4981702-tasma-ambetov-yzmet-nen-bosatyldy.html,"тасмағамбетов,қызметінен,босатылды",тасмағамбетов қызметінен босатылды,Тасмағамбетов қызметінен босатылды,"[('Тасмағамбетов', 'JJ'), ('қызметінен', 'NNP'), ('босатылды', 'NN')]",['Тасмағамбетов']
Қасым-Жомарт Тоқаев мұғалімдердің тамыз конференциясына қатысады,16:23 2019-08-15,https://kaz.zakon.kz/news/4981694-asym-zhomart-to-aev-m-al-mderd-tamyz.html,"қасым,жомарт,тоқаев,мұғалімдердің,тамыз,конференциясына,қатысады",қасым-жомарт тоқаев мұғалімдердің тамыз конференциясына қатысады,Қасым-Жомарт Тоқаев мұғалімдердің тамыз конференциясына қатысады,"[('Қасым', 'SYM'), ('-', ':'), ('Жомарт', 'NN'), ('Тоқаев', 'JJ'), ('мұғалімдердің', 'NNP'), ('тамыз', 'NNP'), ('конференциясына', 'NNP'), ('қатысады', 'NN')]","['Қасым', 'Жомарт Тоқаев']"
"Сүрбойдақ Кенталды қай сұлу ""қақпанға түсіргені"" белгілі болды",16:05 2019-08-15,https://kaz.zakon.kz/news/4981691-s-rboyda-kentaldy-ay-s-lu-a-pan-a-t-s.html,"сүрбойдақ,кенталды,қай,сұлу,қақпанға,түсіргені,белгілі,болды","сүрбойдақ кенталды қай сұлу ""қақпанға түсіргені"" белгілі болды","Сүрбойдақ Кенталды қай сұлу ""қақпанға түсіргені"" белгілі болды","[('Сүрбойдақ', 'JJ'), ('Кенталды', 'NNP'), ('қай', 'NNP'), ('сұлу', 'NNP'), ('""', 'NNP'), ('қақпанға', 'NNP'), ('түсіргені', 'NNP'), ('""', 'NNP'), ('белгілі', 'NNP'), ('болды', 'NN')]",['Сүрбойдақ Кенталды']
5 қызынан айырылған Жанымгүл мен Евгений Ситерлер отбасы бала асырап алмақ,16:04 2019-08-15,https://kaz.zakon.kz/news/4981690-5-yzynan-ayyryl-an-zhanymg-l-men.html,"5,қызынан,айырылған,жанымгүл,евгений,ситерлер,отбасы,бала,асырап,алмақ",5 қызынан айырылған жанымгүл мен евгений ситерлер отбасы бала асырап алмақ,5 қызынан айырылған Жанымгүл мен Евгений Ситерлер отбасы бала асырап алмақ,"[('5', 'CD'), ('қызынан', 'JJ'), ('айырылған', 'NNP'), ('Жанымгүл', 'NNP'), ('мен', 'NNP'), ('Евгений', 'NNP'), ('Ситерлер', 'NNP'), ('отбасы', 'NNP'), ('бала', 'NNP'), ('асырап', 'NNP'), ('алмақ', 'NN')]",[]
"""Всеобучтың"" жәрдемақысын жеп қоятындар кімдер?",15:53 2019-08-15,https://kaz.zakon.kz/news/4981688-vseobuchty-zh-rdema-ysyn-zhep-oyatyndar.html,"всеобучтың,жәрдемақысын,жеп,қоятындар,кімдер","""всеобучтың"" жәрдемақысын жеп қоятындар кімдер?","""Всеобучтың"" жәрдемақысын жеп қоятындар кімдер?","[('""', 'JJ'), ('Всеобучтың', 'NNP'), ('""', 'NNP'), ('жәрдемақысын', 'NNP'), ('жеп', 'NNP'), ('қоятындар', 'NNP'), ('кімдер', 'NNP'), ('?', '.')]",[]
Атырауда балықтың жаппай қырылу оқиғасы бойынша сот отырысы өтті,15:32 2019-08-15,https://kaz.zakon.kz/news/4981683-atyrauda-baly-ty-zhappay-yryluy.html,"атырауда,балықтың,жаппай,қырылу,оқиғасы,бойынша,сот,отырысы,өтті",атырауда балықтың жаппай қырылу оқиғасы бойынша сот отырысы өтті,Атырауда балықтың жаппай қырылу оқиғасы бойынша сот отырысы өтті,"[('Атырауда', 'JJ'), ('балықтың', 'NNP'), ('жаппай', 'NNP'), ('қырылу', 'NNP'), ('оқиғасы', 'NNP'), ('бойынша', 'NNP'), ('сот', 'NNP'), ('отырысы', 'NNP'), ('өтті', 'NN')]",['Атырауда']
"Алматыда ағаш құлап, біреудің жап-жақсы мәшинесін талқандады",15:31 2019-08-15,https://kaz.zakon.kz/news/4981682-almatyda-a-ash-lap-b-reud-zhap-zha-sy-m.html,"алматыда,ағаш,құлап,біреудің,жап,жақсы,мәшинесін,талқандады","алматыда ағаш құлап, біреудің жап-жақсы мәшинесін талқандады","Алматыда ағаш құлап, біреудің жап-жақсы мәшинесін талқандады","[('Алматыда', 'JJ'), ('ағаш', 'NNP'), ('құлап', 'NNP'), (',', ','), ('біреудің', 'NNP'), ('жап', 'NNP'), ('-', ':'), ('жақсы', 'NN'), ('мәшинесін', 'NN'), ('талқандады', 'NN')]",['Алматыда']
"""Өз алдына бөлек халық"". Атақты рэпер шымкентскийлерді сөз қылды",15:14 2019-08-15,https://kaz.zakon.kz/news/4981678-z-aldyna-b-lek-haly-ata-ty-reper.html,"алдына,бөлек,халық,"".,атақты,рэпер,шымкентскийлерді,сөз,қылды","""өз алдына бөлек халық"". атақты рэпер шымкентскийлерді сөз қылды","""Өз алдына бөлек халық"". Атақты рэпер шымкентскийлерді сөз қылды","[('""', 'JJ'), ('Өз', 'NNP'), ('алдына', 'NNP'), ('бөлек', 'NNP'), ('халық', 'NNP'), ('"".', 'NNP'), ('Атақты', 'NNP'), ('рэпер', 'NNP'), ('шымкентскийлерді', 'NNP'), ('сөз', 'NNP'), ('қылды', 'NN')]",[]
Ұятсыз видео шыққан Теңіз кенішінде тағы бір масқара жағдай анықталды,14:27 2019-08-15,https://kaz.zakon.kz/news/4981670-yatsyz-video-shy-an-te-z-ken-sh-nde-ta.html,"ұятсыз,видео,шыққан,теңіз,кенішінде,бір,масқара,жағдай,анықталды",ұятсыз видео шыққан теңіз кенішінде тағы бір масқара жағдай анықталды,Ұятсыз видео шыққан Теңіз кенішінде тағы бір масқара жағдай анықталды,"[('Ұятсыз', 'JJ'), ('видео', 'NNP'), ('шыққан', 'NNP'), ('Теңіз', 'NNP'), ('кенішінде', 'NNP'), ('тағы', 'NNP'), ('бір', 'NNP'), ('масқара', 'NNP'), ('жағдай', 'NNP'), ('анықталды', 'NN')]",['Ұятсыз']
"Пах, шіркін-ай. Индонезия еркектері волейболшы қызымызға сұқтанды",12:51 2019-08-15,https://kaz.zakon.kz/news/4981647-pah-sh-rk-n-ay-indoneziya-erkekter.html,"пах,индонезия,еркектері,волейболшы,қызымызға,сұқтанды","пах, шіркін-ай. индонезия еркектері волейболшы қызымызға сұқтанды","Пах, шіркін-ай. Индонезия еркектері волейболшы қызымызға сұқтанды","[('Пах', 'NN'), (',', ','), ('шіркін', 'NNP'), ('-', ':'), ('ай', 'NN'), ('.', '.'), ('Индонезия', 'CC'), ('еркектері', 'JJ'), ('волейболшы', 'NNP'), ('қызымызға', 'NNP'), ('сұқтанды', 'NN')]",['Пах']
"""Астана су арнасының"" бұрынғы бас директоры 7 жылға сотталды",12:34 2019-08-15,https://kaz.zakon.kz/news/4981642-astana-su-arnasyny-b-ryn-y-bas.html,"астана,су,арнасының,бұрынғы,бас,директоры,7,жылға,сотталды","""астана су арнасының"" бұрынғы бас директоры 7 жылға сотталды","""Астана су арнасының"" бұрынғы бас директоры 7 жылға сотталды","[('""', 'JJ'), ('Астана', 'NNP'), ('су', 'NNP'), ('арнасының', 'NNP'), ('""', 'NNP'), ('бұрынғы', 'NNP'), ('бас', 'NNP'), ('директоры', 'VBD'), ('7', 'CD'), ('жылға', 'NNS'), ('сотталды', 'VBP')]",['Астана']
